Meal,Item1,Item2
breakfast_meal3,Besan Chilla (2 pcs),1 Poori + Dal Tadka
breakfast_meal4,Rava Dhokla (1 plate),1 Poori + Rajma
breakfast_meal5,Idli with Sambar,Oats Porridge with Milk (1 bowl)
