Meal,Item1,Item2
dinner_meal1,Methi Thepla (2 pc),Lemon Rice (1 plate)
dinner_meal2,Sprouts Salad (1 bowl),Curd Rice (1 plate)
dinner_meal3,Lassi (1 glass),Tomato Rice (1 plate)
dinner_meal4,Vegetable Khichdi (1 plate),Veg Pulao (1 plate)
